"Title";"Type";"Rootfolder";"LibraryName";"Language";"Fallback";"TextTruncated";"Download Source";"Fav Provider Link"
"Harry Potter and the Prisoner of Azkaban";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/ztlzmM6QqVmvTHyP0Gtss2mvsFT.jpg";"https://www.themoviedb.org/movie/673/images/posters"
"Harry Potter and the Sorcerer's Stone";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/o6Zcka8nRMTIYKJDBSXYO8WEUMY.jpg";"https://www.themoviedb.org/movie/671/images/posters"
"The Haunted Mansion";"Movie";"13. Movies - Disney";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/zbnMs13wKUxjDnpkC7qAG8plTDo.jpg";"https://www.themoviedb.org/movie/10756/images/posters"
"Heat";"Movie";"Heat (1995)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/jzmsMjnF39vJ3tOZHUK1g841JrS.jpg";"https://www.themoviedb.org/movie/949/images/posters"
"Hellboy";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/gXWsNjLgOyPKC49NR6YFBRhRYco.jpg";"https://www.themoviedb.org/movie/1487/images/posters"
"Hellboy II: The Golden Army";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/ysPXw9g8ACzZz6oOgzAENGPsqgc.jpg";"https://www.themoviedb.org/movie/11253/images/posters"
"Her";"Movie";"Her (2013)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/8JSCh4eBOQMZRQIjeuJfVX10lBc.jpg";"https://www.themoviedb.org/movie/152601/images/posters"
"Herbie Fully Loaded";"Movie";"13. Movies - Disney";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/7hanr4y09NORLllBk9O7N3Vt0UN.jpg";"https://www.themoviedb.org/movie/11451/images/posters"
"Hercules";"Movie";"13. Movies - Disney";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/gxIsZFFSgYXCRCA6ZpK41wXCNVC.jpg";"https://www.themoviedb.org/movie/11970/images/posters"
"Hidalgo";"Movie";"Hidalgo (2004)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/wiROBVLfwaBPgu1xOPRSvYjm9A7.jpg";"https://www.themoviedb.org/movie/2023/images/posters"
"High School Musical";"Movie";"13. Movies - Disney";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/nbKuSxEbfGMkihHPeAq2hnk4P0d.jpg";"https://www.themoviedb.org/movie/10947/images/posters"
"High School Musical 2";"Movie";"13. Movies - Disney";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/uLYpf3mSZy9lLWLOCr9Mix3rGjp.jpg";"https://www.themoviedb.org/movie/13649/images/posters"
"High School Musical 3: Senior Year";"Movie";"13. Movies - Disney";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/i4M40wtMdykaED0DL36FIhnIvtY.jpg";"https://www.themoviedb.org/movie/11887/images/posters"
"Highlander";"Movie";"Highlander (1986)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/cziacirs9tzUlMDcetubtrNiDYp.jpg";"https://www.themoviedb.org/movie/8009/images/posters"
