"Library Name";"Library Type";"Library Language";"title";"originalTitle";"SeasonNames";"SeasonNumbers";"SeasonRatingKeys";"year";"tvdbid";"imdbid";"tmdbid";"ratingKey";"Path";"RootFoldername";"MultipleVersions";"PlexPosterUrl";"PlexBackgroundUrl";"PlexSeasonUrls"
"Movies";"movie";"en";"The Spirited Spooked Sports Show Scooby Meets Tim Conway";;;;;;;;;"48417";"/data/Movies/";"Scooby Doo Movies";"False";"/library/metadata/48417/thumb/1728423272";"/library/metadata/48417/art/1728423272";
"Movies";"movie";"en";"Spooky Buddies";;;;;"2011";"12251";"tt1792131";"70587";"63856";"/data/Movies/";"Spooky Buddies (2011)";"False";"/library/metadata/63856/thumb/1728495409";"/library/metadata/63856/art/1728495409";
"Movies";"movie";"en";"The Spooky Fog Scooby Meets Don Knotts";;;;;;;;;"48418";"/data/Movies/";"Scooby Doo Movies";"False";"/library/metadata/48418/thumb/1728423272";"/library/metadata/48418/art/1728423272";
"Movies";"movie";"en";"The Spy Who Loved Me";;;;;"1977";"1137";"tt0076752";"691";"43640";"/data/Movies/";"The Spy Who Loved Me (1977)";"False";"/library/metadata/43640/thumb/1728423272";"/library/metadata/43640/art/1728423272";
"Movies";"movie";"en";"Squanto: A Warrior's Tale";;;;;"1994";"101422";"tt0111271";"65158";"63828";"/data/Movies/";"Squanto A Warrior's Tale (1994)";"False";"/library/metadata/63828/thumb/1728495404";"/library/metadata/63828/art/1728495404";
"Movies";"movie";"en";"Star Trek II: The Wrath of Khan";;;;;"1982";"3201";"tt0084726";"154";"41983";"/data/Movies/";"Star Trek";"False";"/library/metadata/41983/thumb/1728423272";"/library/metadata/41983/art/1728423272";
"Movies";"movie";"en";"Star Trek III: The Search for Spock";;;;;"1984";"4606";"tt0088170";"157";"41986";"/data/Movies/";"Star Trek";"False";"/library/metadata/41986/thumb/1728423272";"/library/metadata/41986/art/1728423272";
"Movies";"movie";"en";"Star Trek IV: The Voyage Home";;;;;"1986";"2464";"tt0092007";"168";"41988";"/data/Movies/";"Star Trek";"False";"/library/metadata/41988/thumb/1728423273";"/library/metadata/41988/art/1728423273";
"Movies";"movie";"en";"Star Trek VI: The Undiscovered Country";;;;;"1991";"5792";"tt0102975";"174";"42000";"/data/Movies/";"Star Trek";"False";"/library/metadata/42000/thumb/1728423273";"/library/metadata/42000/art/1728423273";
"Movies";"movie";"en";"Star Trek: First Contact";;;;;"1996";"3616";"tt0117731";"199";"41975";"/data/Movies/";"Star Trek";"False";"/library/metadata/41975/thumb/1728423273";"/library/metadata/41975/art/1728423273";
